id,en,jp,trans
0-chapter_name,,コロッサス討伐戦,Colosseus战斗
0,,<span class='scene-font-katari'>コロッサスの覚醒を鎮めた一行は、</span><br><span class='scene-font-katari'>再びザカ大公に謁見するのだった。</span>,平静Colosseus觉醒的党再次审计。
1,,ありがたい……<br>これでひとまず、バルツ公国の民を<br>むやみに混乱させずにすんだ……,感激......现在，我没有迷惑地混淆了Balts王子的人......
2,,良かったじゃねぇか！<br>またコロッサスたちが目覚めたら<br>いつでも連絡してくれ！,这很好！此外，无论何时Colossus唤醒，请随时与我联系！
3,,感謝する……お主らのおかげで、<br>今は亡き、我が同胞達にも<br>顔向けできるものよ……,我感谢你......谢谢你，现在我已经死了，我还能面对我们的人......
4,,よかったです！<br>岩と砂しかないですけど<br>わたし、この国が大好きです！,这很好！只有岩石和沙子，但我爱这个国家！
5,,バルツは良い所であろう？<br>ふっふっふっ、岩と砂以外にもな<br>魔力を増幅させる秘湯が有名だぞ？,Balz是一个好地方吗？蓬松，是不是因为秘密温泉放大除岩石和沙子之外的神奇力量而闻名？
6,,なんだなんだぁ？<br>それはぜひとも行ってみたいなぁ！<br>なぁ？　姬塔！,它是什么？我一定要去那里！我不知道？姬塔！
7,,ゆっくりしていくといい……<br>バルツ公国はお主らを<br>いつでも歓迎しようぞ！,你最好慢慢来...... Balts王子随时欢迎你！
8,,これにて一件落着ですね～！<br>また巨人ちゃんが目覚めた際には、<br>よろず屋シェロちゃんにご用命を～！,这是一种情况〜！当巨人醒来时，她又下令躲避〜！
info,,1,scene_multi6_q2_s20
